Name,FC1,FC2,GSC Team
bobUK,4515-7230-7433,,5
Declan,4215-0694-1608,,5
Fred,3742-6329-0657,,5
FusionNY,0564-3597-8977,5117-0267-6941,5
Jawdyn,5331-7705-3021,,5
Kim,4472-7683-3591,,5
Kyon,2797-7312-9253,,5
py,0349-6004-4543,,5
roy,:4859-3205-0064,1204-4123-8481,5
Sal,1337-4417-2223,,5
Spec,4730-4740-4760,,5
zach,0091-9116-0000,,5
Dhavz,2153-4911-4855,,8610
rogue,1294-4986-0754,,8610
Serene,2668-8825-2515,,8610
Feysal,2368-2401-7819,,airy
Jack,3613-7745-6793,,airy
Kasperinos,3399-0339-3300,,airy
LukeIRE,5031-1124-3696,,airy
Neuro,0349-6004-3842,,airy
Quinn,4640-0793-0184,,airy
Ruby,0607-3069-4798,,airy
Xander,4343-9182-6901,,airy
Aditya,3613-7773-6772,,Apocalypse
Alberto,0605-8198-1596,,Apocalypse
Batcake,5074-0640-9200,,Apocalypse
Bixbolt,4215-0835-8671,,Apocalypse
Fay,3356-0805-0549,,Apocalypse
Insane,3227-2277-6058,,Apocalypse
Sky9,3441-9873-7927,,Apocalypse
Smash,3227-2271-3276,,Apocalypse
Smoke,1378-4092-6599,,Apocalypse
Tom,4429-8269-8410,,Apocalypse
Arrow,2196-4348-1241,,Apocalypse Emerald
Camelot,3871-4771-2333,,Apocalypse Emerald
Chillz,3527-8777-9982,,Apocalypse Emerald
Thunda,1294-5024-0059,,Apocalypse Emerald
Torp,2582-9829-8021,,Apocalypse Emerald
Jeroen,0134-8518-2633,,Apocalypse Ruby
Shix,3739-9445-3474,,Apocalypse Ruby
Edge,0521-4031-8450,,Ascension
Jooosh,1723-9983-2730,5331-7713-9441,Ascension
Nany,3656-7267-2466,,Ascension
Nota,4386-8705-5739,,Ascension
Phillip,4859-3145-8309,,Ascension
Sawyer,1809-8902-8316,,Ascension
Soon,2711-8376-7744,,Ascension
Sprixy,2582-9942-6835,,Ascension
Stubbz,1766-9468-2470,0134-8552-1611,Ascension
Twingy,3098-3787-5214,1337-4504-5750,Ascension
Zilla,2926-5841-3809,,Ascension
Ballin,5159-9617-0676,,Avail
Chéron,0736-1458-9776,,Avail
JAM,0607-3061-6828,,Avail
Joris,2196-4364-5904,,Avail
Kevin,4000-3330-3338,1337-4529-0175,Avail
Lucid,2325-2956-0053,,Avail
Nash,4471-1665-0900,,Avail
Nikos,1466-2898-9455,,Avail
Olifré,2793-5064-0529,,Avail
Paul,4000-3234-9902,,Avail
Thomas,2454-1409-0265,,Avail
Finnn,4558-6737-5834,,Baja Life
FredUS,2110-5397-4189,,Baja Life
mookie,0349-6106-5509,,Baja Life
Finite,4300-9704-9224,,Berserk
Fiona,2711-8399-6117,,Berserk
hiroto,2711-8314-6940,,Berserk
Hyp,1122-6928-7412,,Berserk
Kotoran,2883-6297-8556,2883-6432-3383,Berserk
Marron,0993-8484-0880,4086-2223-2120,Berserk
oga,4644-5765-0025,,Berserk
Paprika,2282-3487-3668,,Berserk
sukay,3656-7296-1413,,Berserk
